,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
7919,Upto HSC,24.0,Yes,,Yes,No,Urban,Yes,Mobile Internet,6,2,No,Private,Rural,Male,Yes,Computer
7920,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,Yes,Private,Rural,Female,No,Mobile
7921,Hons or Grater,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,4,No,Public,Rural,Male,Yes,Mobile
7922,Hons or Grater,23.0,Yes,No,Yes,No,Rural,Yes,Mobile Internet,6,2,Yes,Public,Rural,Male,No,Computer
7923,Upto HSC,25.0,No,No,No,Yes,Rural,Yes,Mobile Internet,6,3,No,Private,Urban,Male,,Computer
7924,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,3,Yes,Public,Urban,Male,No,Computer
7925,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,2,Yes,Private,Urban,Male,Yes,Computer
7926,Upto HSC,20.0,Yes,Yes,Yes,No,Urban,No,Broadband,6,3,Yes,Private,Urban,,No,Computer
7927,Hons or Grater,22.0,Yes,No,Yes,No,Urban,Yes,Broadband,5,2,Yes,Public,,Male,Yes,Mobile
7928,Upto HSC,24.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,4,3,Yes,Private,Urban,Female,Yes,Computer
7929,Hons or Grater,26.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,6,3,Yes,Public,Urban,Male,No,Computer
7930,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Public,Urban,Female,Yes,Mobile
7931,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,Rural,Male,Yes,Mobile
7932,Hons or Grater,21.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,5,2,No,Private,Rural,Male,Yes,Computer
7933,Hons or Grater,,Yes,No,Yes,No,Rural,Yes,Broadband,4,2,No,Public,Urban,Female,Yes,Computer
7934,Hons or Grater,24.0,Yes,No,No,No,Urban,Yes,Broadband,5,4,Yes,Private,Urban,,Yes,Computer
7935,Hons or Grater,25.0,Yes,No,Yes,No,,Yes,Broadband,3,3,No,,Urban,Male,No,Computer
7936,Hons or Grater,,Yes,Yes,No,No,Urban,No,Mobile Internet,5,2,No,Private,Urban,Female,No,Computer
7937,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,No,Public,Urban,Female,Yes,Computer
7938,Upto HSC,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,2,Yes,Private,Urban,Female,Yes,Computer
7939,Upto HSC,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,4,3,No,Private,Urban,Male,No,Computer
7940,Upto HSC,18.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,Male,Yes,Computer
7941,Upto HSC,18.0,Yes,No,Yes,Yes,Urban,Yes,Broadband,5,3,No,Public,Rural,Male,No,Computer
7942,Hons or Grater,26.0,Yes,No,Yes,Yes,Rural,Yes,Broadband,4,3,No,Public,Rural,Female,No,Mobile
7943,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,5,3,Yes,Private,Urban,Male,No,Mobile
7944,Hons or Grater,,Yes,No,No,Yes,Urban,Yes,Mobile Internet,5,4,No,Private,Urban,Male,No,Computer
7945,Hons or Grater,24.0,Yes,No,No,No,Rural,Yes,Broadband,5,3,Yes,Private,,Male,No,Computer
7946,Hons or Grater,,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Female,,Mobile
7947,Upto HSC,,Yes,Yes,Yes,No,Rural,Yes,Broadband,5,3,No,Public,Rural,Male,Yes,Mobile
7948,Hons or Grater,22.0,No,Yes,Yes,Yes,Urban,No,Broadband,4,4,Yes,Public,Urban,Female,Yes,Computer
7949,Hons or Grater,22.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,5,4,No,Private,Urban,Male,Yes,Computer
7950,Hons or Grater,25.0,Yes,Yes,Yes,Yes,Rural,Yes,Broadband,6,4,No,,Rural,Male,Yes,Computer
7951,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,4,No,Public,Urban,Female,Yes,Mobile
7952,Hons or Grater,24.0,Yes,No,No,No,,Yes,Broadband,6,3,No,Public,Urban,,No,Mobile
7953,Upto HSC,18.0,Yes,No,No,No,Rural,Yes,Broadband,5,3,No,Public,Rural,Female,Yes,Mobile
7954,Hons or Grater,23.0,Yes,No,Yes,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Male,No,Mobile
7955,Hons or Grater,,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,4,No,Private,Rural,Female,Yes,Mobile
7956,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,3,2,Yes,Private,Rural,Male,Yes,Mobile
7957,Upto HSC,18.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,3,3,Yes,Private,Urban,Male,Yes,Mobile
7958,Upto HSC,24.0,Yes,,No,Yes,Urban,No,Broadband,5,3,Yes,,Urban,Male,No,Computer
7959,Hons or Grater,22.0,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,5,3,No,,Urban,Male,No,Computer
7960,Hons or Grater,23.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,3,3,No,Private,Urban,Male,,Mobile
7961,Upto HSC,26.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,4,4,No,Public,Rural,Female,No,Mobile
7962,Hons or Grater,26.0,Yes,No,No,No,Urban,Yes,Mobile Internet,6,3,No,Private,Rural,Male,Yes,Computer
7963,Hons or Grater,23.0,No,Yes,No,No,Urban,Yes,Broadband,6,4,No,Private,Urban,Female,No,Computer
7964,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,Urban,Male,No,Computer
7965,Hons or Grater,22.0,Yes,No,Yes,Yes,Rural,Yes,Mobile Internet,6,3,No,Private,,Male,Yes,Mobile
7966,Upto HSC,25.0,No,No,Yes,Yes,Rural,Yes,Mobile Internet,3,3,Yes,Private,Urban,Female,Yes,Computer
7967,Upto HSC,20.0,,No,Yes,No,Urban,Yes,Mobile Internet,5,4,Yes,Private,Rural,Male,No,Mobile
7968,Hons or Grater,21.0,Yes,No,No,No,Urban,Yes,Broadband,3,3,No,Public,Rural,Male,Yes,Mobile
7969,Hons or Grater,25.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,5,4,No,Public,Urban,Male,No,Mobile
7970,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,3,No,,Rural,Male,Yes,Mobile
7971,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,3,2,Yes,Private,Rural,Male,Yes,Computer
7972,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Broadband,6,3,Yes,,Urban,Male,Yes,Mobile
7973,Upto HSC,25.0,Yes,No,No,No,Urban,Yes,Broadband,3,3,No,Public,Rural,Male,Yes,Computer
7974,Hons or Grater,23.0,Yes,No,No,No,Urban,Yes,Mobile Internet,6,4,No,Private,Rural,Female,Yes,Mobile
7975,Hons or Grater,,No,No,Yes,No,Urban,Yes,Mobile Internet,4,3,No,Public,Urban,Male,,Computer
7976,Hons or Grater,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,2,Yes,Public,Urban,Male,No,Mobile
7977,Hons or Grater,22.0,No,Yes,No,No,Urban,No,Broadband,4,3,Yes,Private,Urban,Female,Yes,Computer
7978,Hons or Grater,25.0,No,No,Yes,No,Urban,Yes,Mobile Internet,3,3,No,Private,Urban,Male,Yes,Mobile
7979,Upto HSC,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,No,Private,Urban,Female,No,Computer
7980,Hons or Grater,24.0,Yes,No,Yes,No,Rural,Yes,Broadband,3,3,No,Public,Urban,Male,Yes,Computer
7981,Hons or Grater,23.0,Yes,No,No,No,Rural,Yes,Mobile Internet,4,2,Yes,Private,Urban,Female,,Computer
7982,Hons or Grater,22.0,Yes,No,No,No,Rural,Yes,Broadband,5,2,No,Private,Rural,Female,Yes,Computer
7983,Upto HSC,22.0,Yes,No,No,No,Urban,Yes,Mobile Internet,4,3,No,Public,Rural,Female,No,Mobile
7984,Hons or Grater,25.0,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,4,3,No,Public,Urban,Male,Yes,Mobile
7985,Upto HSC,18.0,Yes,Yes,No,Yes,Urban,No,Broadband,4,4,No,Public,Rural,Female,Yes,Computer
7986,Hons or Grater,21.0,No,Yes,No,No,Urban,No,Broadband,5,3,No,Private,Urban,Male,Yes,Computer
7987,Hons or Grater,26.0,Yes,Yes,No,No,Rural,Yes,Broadband,3,4,No,Private,Urban,Female,Yes,Computer
7988,Upto HSC,20.0,Yes,No,Yes,Yes,Urban,Yes,Broadband,6,4,Yes,Private,Urban,Male,,Mobile
7989,Hons or Grater,21.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,5,3,Yes,Private,Urban,Female,Yes,Computer
7990,Upto HSC,18.0,Yes,Yes,Yes,No,Rural,Yes,Mobile Internet,3,4,No,Private,Urban,Male,No,Mobile
7991,Hons or Grater,21.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,4,4,No,Public,Urban,,Yes,Computer
7992,Hons or Grater,21.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,4,2,Yes,Private,Urban,Male,Yes,Computer
7993,Hons or Grater,21.0,Yes,No,No,No,,Yes,Broadband,6,4,No,Private,Urban,Male,No,Mobile
7994,Hons or Grater,25.0,,Yes,No,Yes,Urban,No,Broadband,5,4,No,Private,Urban,Male,No,Computer
7995,Hons or Grater,23.0,No,Yes,No,No,Urban,Yes,Mobile Internet,5,3,No,Public,Rural,Female,No,Mobile
7996,Hons or Grater,21.0,Yes,,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Rural,Female,,Computer
7997,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,5,4,Yes,Private,Urban,Male,,Mobile
7998,Upto HSC,24.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,5,3,Yes,Private,Rural,Male,Yes,Mobile
7999,Hons or Grater,25.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,5,3,No,Private,Rural,Female,No,Computer
8000,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,2,No,,Rural,Female,Yes,Computer
8001,Upto HSC,19.0,,No,No,No,Urban,Yes,Broadband,5,3,No,Private,Rural,Male,Yes,Computer
8002,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Public,Urban,Male,No,Mobile
8003,Upto HSC,22.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,4,4,Yes,,Urban,,No,Computer
8004,Hons or Grater,25.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,2,Yes,Private,Urban,Female,No,Mobile
8005,Hons or Grater,25.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,4,3,Yes,Private,Rural,,Yes,Mobile
8006,Hons or Grater,,No,Yes,Yes,No,Urban,Yes,Mobile Internet,3,3,No,Public,Rural,Female,Yes,Computer
8007,Upto HSC,24.0,Yes,No,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Male,Yes,Computer
8008,Upto HSC,21.0,Yes,Yes,Yes,No,Urban,No,Broadband,6,3,Yes,Private,Rural,,Yes,Computer
8009,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,4,4,Yes,Private,Urban,Male,No,Mobile
8010,Hons or Grater,23.0,Yes,Yes,No,Yes,Rural,No,Broadband,6,3,No,Private,Urban,Female,No,Mobile
8011,Hons or Grater,21.0,Yes,No,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Rural,Female,Yes,Computer
8012,Upto HSC,25.0,Yes,No,No,Yes,Urban,Yes,Broadband,4,4,No,Private,Urban,Male,Yes,Computer
8013,Hons or Grater,23.0,Yes,No,Yes,No,,Yes,Mobile Internet,6,3,Yes,Private,Rural,Male,Yes,Computer
8014,Hons or Grater,22.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,4,2,Yes,,Urban,Male,,Computer
8015,Hons or Grater,,Yes,No,No,No,Urban,Yes,Broadband,3,3,No,Private,Urban,,Yes,Computer
8016,Hons or Grater,25.0,Yes,Yes,Yes,Yes,Urban,No,Broadband,3,4,No,Public,Urban,Female,Yes,Computer
8017,Hons or Grater,25.0,No,No,Yes,Yes,Urban,Yes,Broadband,5,3,Yes,Public,Rural,Female,Yes,Computer
8018,Upto HSC,18.0,Yes,Yes,Yes,No,Urban,No,Broadband,5,3,Yes,Private,Rural,Female,Yes,Computer
8019,Hons or Grater,22.0,Yes,No,No,Yes,,Yes,Mobile Internet,3,4,No,Public,Urban,Female,Yes,Computer
8020,Hons or Grater,23.0,No,Yes,No,No,Urban,Yes,Broadband,3,3,No,Private,Rural,Female,Yes,Mobile
8021,Hons or Grater,21.0,Yes,No,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Public,Rural,Male,,Computer
8022,Hons or Grater,22.0,Yes,Yes,No,No,Rural,Yes,Broadband,5,3,Yes,Public,Urban,Female,No,Computer
8023,Upto HSC,20.0,Yes,Yes,Yes,No,Rural,Yes,Mobile Internet,4,3,No,Public,Urban,Male,Yes,Computer
8024,Upto HSC,20.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,2,No,Private,Rural,Female,Yes,Computer
8025,Hons or Grater,22.0,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,6,2,Yes,Private,Urban,Male,Yes,Mobile
8026,Upto HSC,22.0,Yes,,No,No,Urban,No,Mobile Internet,5,4,No,Private,Urban,Female,Yes,Mobile
8027,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Broadband,6,3,Yes,Private,Rural,Female,Yes,Mobile
8028,Hons or Grater,,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,2,No,Public,Urban,Male,,Mobile
8029,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,2,No,Public,Urban,Male,Yes,Computer
8030,Hons or Grater,26.0,No,Yes,No,Yes,Urban,No,Mobile Internet,6,3,No,Private,Urban,Female,Yes,Computer
8031,Hons or Grater,,Yes,Yes,Yes,No,Urban,No,Broadband,6,3,Yes,Private,Rural,,No,Mobile
8032,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,3,Yes,Private,Rural,Male,Yes,Computer
8033,Hons or Grater,23.0,Yes,No,Yes,No,Rural,Yes,Mobile Internet,4,4,Yes,Public,,Female,Yes,Computer
8034,Hons or Grater,,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,3,4,Yes,Private,Urban,Male,Yes,Computer
8035,Hons or Grater,23.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,6,2,Yes,Private,,Female,Yes,Mobile
8036,Upto HSC,19.0,Yes,No,No,Yes,,Yes,Broadband,6,4,Yes,Public,,Female,Yes,Mobile
8037,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,4,No,Private,Rural,Female,No,Computer
8038,Hons or Grater,24.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,5,2,No,Private,Urban,Male,Yes,Mobile
8039,Upto HSC,23.0,Yes,,Yes,No,Urban,Yes,Mobile Internet,5,2,Yes,Public,Rural,Male,No,Computer
8040,Upto HSC,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Computer
8041,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,5,4,No,Private,Rural,Male,Yes,Mobile
8042,Upto HSC,21.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,6,3,No,Private,Rural,Female,Yes,Mobile
8043,Hons or Grater,22.0,Yes,Yes,No,No,Rural,No,Broadband,5,3,No,Private,Rural,Female,No,Computer
8044,Hons or Grater,21.0,Yes,,Yes,No,Urban,Yes,Broadband,5,3,No,Public,Urban,Female,No,Computer
8045,Upto HSC,,Yes,No,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,,Female,,Mobile
8046,Upto HSC,,No,Yes,Yes,No,Urban,Yes,Mobile Internet,4,2,Yes,Public,Urban,Male,,Mobile
8047,Hons or Grater,24.0,No,Yes,Yes,Yes,Urban,Yes,Mobile Internet,3,3,No,Public,Rural,Female,,Computer
8048,Upto HSC,26.0,No,No,No,Yes,Urban,Yes,Mobile Internet,5,3,Yes,Private,Rural,Female,Yes,Computer
8049,Upto HSC,26.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,4,3,Yes,Public,Urban,Male,Yes,Computer
8050,Upto HSC,17.0,Yes,Yes,Yes,No,Rural,No,Broadband,4,3,Yes,Private,Urban,Female,Yes,Computer
8051,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,2,No,Private,Rural,Female,No,Mobile
8052,Upto HSC,25.0,Yes,No,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Rural,Male,Yes,Computer
8053,Upto HSC,23.0,No,Yes,No,No,Rural,Yes,Mobile Internet,6,3,No,Private,,Male,Yes,Computer
8054,Hons or Grater,24.0,Yes,No,No,No,,Yes,Broadband,4,3,Yes,Public,Urban,Male,Yes,Computer
8055,Hons or Grater,25.0,Yes,No,No,No,Urban,Yes,Mobile Internet,4,2,No,,Urban,Female,No,Mobile
8056,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,2,Yes,Private,Urban,Male,No,Computer
8057,Hons or Grater,21.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Private,Rural,Male,Yes,Computer
8058,Hons or Grater,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,5,3,No,Private,Rural,Male,No,Computer
8059,Upto HSC,,Yes,No,Yes,Yes,Urban,Yes,Broadband,5,3,Yes,Public,Rural,Female,Yes,Computer
8060,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,4,Yes,Private,Urban,Male,No,Computer
8061,Upto HSC,17.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,3,Yes,Private,Rural,Female,No,Computer
8062,Hons or Grater,25.0,Yes,No,No,No,Urban,Yes,Broadband,4,3,Yes,Public,Rural,Female,No,Mobile
8063,Upto HSC,24.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,4,No,Private,Urban,Male,Yes,Computer
8064,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,Yes,Private,Rural,Female,No,Computer
8065,Upto HSC,26.0,No,No,No,Yes,Urban,Yes,Broadband,6,3,Yes,Private,Urban,Male,Yes,Computer
8066,Upto HSC,21.0,Yes,Yes,No,No,Rural,No,Broadband,3,3,Yes,Private,Urban,Male,,Computer
8067,Hons or Grater,24.0,Yes,No,Yes,Yes,Urban,Yes,Broadband,5,4,Yes,Private,Rural,,Yes,Mobile
8068,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,6,2,Yes,Public,Urban,Female,No,Computer
8069,Hons or Grater,24.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,4,2,No,Private,Urban,Male,No,Computer
8070,Hons or Grater,,Yes,No,Yes,Yes,Urban,Yes,Broadband,5,4,No,Private,,Female,Yes,Computer
8071,Hons or Grater,25.0,No,Yes,Yes,Yes,Urban,No,Mobile Internet,5,4,No,Public,,Male,No,Mobile
8072,Upto HSC,26.0,Yes,No,Yes,No,Urban,Yes,Broadband,5,4,Yes,Public,Urban,Female,Yes,Computer
8073,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,No,Public,Rural,Male,,Computer
8074,Upto HSC,24.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,3,3,Yes,Private,,Female,,Computer
8075,Upto HSC,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,4,No,Private,Urban,Female,No,Computer
8076,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,4,No,Public,Rural,Female,Yes,Computer
8077,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,3,No,Private,Urban,Male,No,Mobile
8078,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Male,Yes,Mobile
8079,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,5,2,Yes,Private,Rural,Male,Yes,Mobile
8080,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,No,Broadband,4,2,No,Private,Urban,Female,Yes,Computer
8081,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,No,Broadband,3,4,No,Private,Rural,Female,No,Computer
8082,Upto HSC,20.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,5,4,No,Private,Urban,Female,Yes,Computer
8083,Upto HSC,22.0,Yes,Yes,Yes,No,Urban,No,Broadband,3,3,Yes,Private,,Male,Yes,Computer
8084,Hons or Grater,25.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,6,3,No,Public,Rural,,No,Computer
8085,Upto HSC,22.0,No,No,No,Yes,Urban,Yes,Broadband,5,3,No,,,Female,Yes,Computer
8086,Upto HSC,,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,3,3,No,Private,Urban,Male,Yes,Computer
8087,Upto HSC,17.0,Yes,No,No,Yes,Urban,Yes,Broadband,4,2,Yes,Private,Urban,Female,Yes,Computer
8088,Upto HSC,24.0,Yes,No,Yes,Yes,Rural,Yes,Broadband,5,2,No,Private,Rural,Female,No,Computer
8089,Hons or Grater,25.0,Yes,No,No,No,Urban,Yes,Mobile Internet,5,4,Yes,Public,Urban,,No,Computer
8090,Upto HSC,25.0,Yes,No,No,No,Urban,Yes,Broadband,4,2,No,Private,Rural,Female,Yes,Mobile
8091,Hons or Grater,21.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,6,3,Yes,Public,Urban,Male,No,Computer
8092,Hons or Grater,24.0,Yes,No,No,Yes,Urban,Yes,Broadband,3,4,Yes,,Rural,Male,Yes,Mobile
8093,Hons or Grater,26.0,Yes,No,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Rural,Female,No,Computer
8094,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Computer
8095,Upto HSC,22.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,4,3,Yes,Public,Rural,,No,Computer
8096,Upto HSC,22.0,,Yes,Yes,No,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Male,Yes,Mobile
8097,Hons or Grater,21.0,Yes,No,No,Yes,Rural,Yes,Broadband,4,4,No,Public,Rural,Female,No,Computer
8098,Upto HSC,22.0,Yes,Yes,Yes,No,,Yes,Broadband,5,4,No,Public,Urban,,No,Mobile
8099,Hons or Grater,,Yes,No,No,Yes,Urban,Yes,Mobile Internet,4,2,No,,,Male,Yes,Computer
8100,Upto HSC,22.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,3,Yes,Private,,Male,Yes,Computer
8101,Hons or Grater,26.0,,Yes,Yes,No,Urban,Yes,Broadband,4,3,No,Public,Urban,Female,No,Mobile
8102,Hons or Grater,23.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,3,2,Yes,Public,Urban,Male,Yes,Mobile
8103,Upto HSC,24.0,No,No,No,No,Urban,Yes,Mobile Internet,6,3,Yes,Public,,Male,Yes,Computer
8104,Hons or Grater,21.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,3,3,No,Public,Rural,Male,Yes,Mobile
8105,Upto HSC,18.0,Yes,No,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,,Female,Yes,Mobile
8106,Upto HSC,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,4,No,,Rural,Female,Yes,Computer
8107,Upto HSC,19.0,No,No,Yes,No,Urban,Yes,Mobile Internet,5,2,Yes,Private,Urban,Female,Yes,Mobile
8108,Hons or Grater,24.0,Yes,No,No,No,,Yes,Mobile Internet,5,4,No,Private,Urban,Male,Yes,Mobile
8109,Hons or Grater,25.0,Yes,No,Yes,Yes,Urban,Yes,Broadband,4,3,Yes,,Rural,Female,,Mobile
8110,Hons or Grater,21.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,3,3,Yes,Public,Rural,Male,No,Mobile
8111,Hons or Grater,21.0,Yes,No,No,No,Rural,Yes,Mobile Internet,3,4,No,Private,Urban,Male,No,Mobile
8112,Upto HSC,26.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,3,2,Yes,Public,Rural,Male,No,Mobile
8113,Upto HSC,24.0,No,Yes,Yes,No,Rural,Yes,Broadband,3,4,Yes,Private,,Female,Yes,Computer
8114,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,3,No,Private,Rural,Female,No,Mobile
8115,Hons or Grater,21.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,4,2,Yes,Private,Urban,Male,No,Computer
8116,Upto HSC,24.0,No,Yes,No,Yes,,Yes,Mobile Internet,4,3,Yes,,Urban,Male,No,Mobile
8117,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,4,No,Public,Urban,Female,,Computer
8118,Upto HSC,,Yes,No,No,No,Urban,Yes,Broadband,4,2,Yes,Public,Rural,Male,,Mobile
8119,Upto HSC,24.0,No,Yes,No,No,Rural,No,Broadband,4,3,No,Private,Rural,Female,No,Computer
8120,Upto HSC,20.0,No,No,Yes,No,Rural,Yes,Broadband,5,2,No,Public,Rural,Male,Yes,Computer
8121,Upto HSC,21.0,No,Yes,Yes,Yes,Urban,Yes,Mobile Internet,5,2,No,Private,,Female,Yes,Computer
8122,Hons or Grater,26.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Male,Yes,Computer
8123,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,6,2,No,Private,Rural,Female,No,Computer
8124,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,3,4,Yes,,Urban,Male,No,Computer
8125,Hons or Grater,23.0,Yes,No,Yes,No,Rural,Yes,Broadband,4,4,Yes,Private,Urban,,Yes,Mobile
8126,Hons or Grater,22.0,No,Yes,No,No,Urban,Yes,Mobile Internet,6,3,Yes,Public,Urban,Female,No,Mobile
8127,Hons or Grater,25.0,Yes,Yes,No,No,Urban,No,Mobile Internet,3,3,No,,,Male,Yes,Mobile
8128,Hons or Grater,24.0,No,No,No,No,Urban,Yes,Broadband,3,2,Yes,Private,Urban,Female,Yes,Computer
8129,Hons or Grater,22.0,Yes,No,No,Yes,Rural,Yes,Mobile Internet,5,3,No,Private,Urban,Female,No,Computer
8130,Upto HSC,25.0,No,Yes,No,No,Rural,No,Broadband,5,4,No,Private,Rural,Female,No,Mobile
8131,Hons or Grater,23.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,6,3,No,Private,Rural,Female,No,Mobile
8132,Hons or Grater,23.0,Yes,Yes,Yes,No,Rural,No,Broadband,4,2,No,,Rural,Male,No,Mobile
